Final,Predicted_Class
,Unwanted
hari ini,Unwanted
semalam,Unwanted
"perkhidmatan pembersihan pejabat lpkp sabah (kota kinabalu, sandakan dan tawau)",Unwanted
"sebut harga hospital kluster bagi membekal dan menghantar reagen rapid antigen detection for respiratory viruses kit"" untuk tempoh dua (2) tahun bagi hospital-hospital di negeri melaka .",Tender
"sebut harga perkhidmatan penyewaan dan penyelenggaraan mesin penyalin sebanyak tiga (3) unit serta caj bacaan meter selama dua (2) tahun di hospital changkat melintang, perak.",Tender
"tender perkhidmatan kawalan keselamatan (tanpa senjata api) bagi tempoh tiga puluh enam (36) bulan untuk kegunaan kolej komuniti taiping, kementerian pendidikan tinggi.",Tender
sebut harga perkhidmatan pembersihan kawasan dan pencucian klinik-klinik dan bangunan pejabat kesihatan daerah seberang perai tengah bagi tempoh 4,Tender
membekal bahan mentah makanan (kering) untuk tujuan pengajaran dan pembelajaran (pdp) program kulinari dan operasi perhotelan bagi tempoh dua tahun di kolej komuniti rompin,Tender
perkhidmatan percetakan dan pembekalan dokumen bercetak untuk ibu pejabat jpj selama tiga (3) tahun,Tender
"perkhidmatan membekal, menghantar, memasang, mengkonfigurasi, menguji dan mentauliah guna perkakasan dan perisian ict di hospital raja perempuan zainab ii, kota bharu, kelantan bagi tempoh tiga puluh enam (36) bulan",Tender
"perkhidmatan pembersihan dalam dan luar bangunan serta penyelenggaraan lanskap di mrsm pdrm kulim, kedah",Tender
"sebutharga perkhidmatan penyewaan, penyelenggaraan dan caj bacaan meter bagi sembilan ( 9 ) unit mesin penyalin hitam dan putih serta satu ( 1 ) unit mesin penyalin berwarna di hospital kota tinggi, johor",Tender
"membekal dan menghantar bekalan ubat micafungin sodium 50mg powder for injection bagi tempoh satu (1) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan",Tender
"membekal dan menghantar bekalan ubat aflibercept 40 mg/ml injection bagi tempoh satu (1) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan.",Tender
"membekal dan menghantar bekalan ubat ponatinib 15mg film-coated tablet bagi tempoh dua (2) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan.",Tender
"membekal dan menghantar bekalan ubat emulsifying ointment (100 gram) bagi tempoh satu (1) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan.",Tender
"perkhidmatan kawalan keselamatan tanpa senjata api (statik) bagi klinik kesihatan air putih,pejabat kesihatan daerah barat daya bagi tempoh januari 2024 sehingga jun 2025",Tender
pembekalan cenderamata / cenderahati bagi ibu pejabat jabatan imigresen malaysia,Tender
"membekal dan menghantar bekalan ubat semaglutide 14 mg tablet bagi tempoh dua (2) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan.",Tender
"membekal dan menghantar bekalan ubat arsenic trioxide 10mg/10ml injection bagi tempoh satu (1) tahun ke unit farmasi logistik, jabatan farmasi, hospital tengku ampuan afzan, kuantan.",Tender
"[fta (cptpp)] tender pembekalan dan pengiriman susu tepung ke jabatan penjara malaysia bagi zon selatan (negeri sembilan, melaka dan johor) bagi tempoh kontrak 3 tahun (maklumat lanjut sila layari laman sesawang https://www.prison.gov.my/ms/senarai-tender) [tawaran petender dibenarkan dalam bm/eng].",Tender
"membekal, menghantar, memasang, mengujilari dan memberi latihan perisian kejuruteraan bagi kegunaan makmal rekabentuk pintar (creative design centre/cdec) politeknik ibrahim sultan",Tender
